10/07/2006-24:00:00 5.575 2.52 73.317 0 270.384 0
10/08/2006-01:00:00 3.869 2.09 83.576 0 264.243 0
10/08/2006-02:00:00 3.869 2.09 83.576 0 264.243 0
10/08/2006-03:00:00 3.869 2.09 83.576 0 264.243 0
10/08/2006-04:00:00 2.869 2.09 90.748 0 260.717 0
10/08/2006-05:00:00 2.869 2.09 90.748 0 260.717 0
10/08/2006-06:00:00 2.869 2.09 90.748 0 260.717 0.0024928
10/08/2006-07:00:00 3.799 2.09 87.488 123.517 264.73 0.0078351
10/08/2006-08:00:00 3.799 2.09 87.488 123.517 264.73 0.0064707
10/08/2006-09:00:00 3.799 2.09 87.488 123.517 264.73 0.20109
10/08/2006-10:00:00 7.132 2.09 72.006 402.568 278.202 1.4531
10/08/2006-11:00:00 7.132 2.09 72.006 402.568 278.202 1.6544
10/08/2006-12:00:00 7.132 2.09 72.006 402.568 278.202 0.35814
10/08/2006-13:00:00 9.905 2.09 61.832 411.626 289.915 0.10759
10/08/2006-14:00:00 9.905 2.09 61.832 411.626 289.915 0.055698
10/08/2006-15:00:00 9.905 2.09 61.832 411.626 289.915 0.11871
10/08/2006-16:00:00 10.11 2.09 63.125 141.142 291.48 0.0053628
10/08/2006-17:00:00 10.11 2.09 63.125 141.142 291.48 0.022687
10/08/2006-18:00:00 10.11 2.09 63.125 141.142 291.48 1.9937e-05
10/08/2006-19:00:00 9.361 2.09 68.634 0 289.185 0
10/08/2006-20:00:00 9.361 2.09 68.634 0 289.185 0
10/08/2006-21:00:00 9.361 2.09 68.634 0 289.185 0
10/08/2006-22:00:00 8.321 2.09 76.046 0 285.739 0
10/08/2006-23:00:00 8.321 2.09 76.046 0 285.739 0
10/08/2006-24:00:00 8.321 2.09 76.046 0 285.739 0
10/09/2006-01:00:00 7.34 4.88 83.89 0 281.007 0
10/09/2006-02:00:00 7.34 4.88 83.89 0 281.007 0
10/09/2006-03:00:00 7.34 4.88 83.89 0 281.007 0
10/09/2006-04:00:00 6.764 4.88 89.958 0 279.445 0
10/09/2006-05:00:00 6.764 4.88 89.958 0 279.445 0
10/09/2006-06:00:00 6.764 4.88 89.958 0 279.445 0
10/09/2006-07:00:00 7.816 4.88 83.544 120.769 283.54 0
10/09/2006-08:00:00 7.816 4.88 83.544 120.769 283.54 0
10/09/2006-09:00:00 7.816 4.88 83.544 120.769 283.54 0
10/09/2006-10:00:00 11.361 4.88 64.658 398.87 297.38 0
10/09/2006-11:00:00 11.361 4.88 64.658 398.87 297.38 0
10/09/2006-12:00:00 11.361 4.88 64.658 398.87 297.38 0
10/09/2006-13:00:00 14.309 4.88 52.339 407.456 309.189 0
10/09/2006-14:00:00 14.309 4.88 52.339 407.456 309.189 0
10/09/2006-15:00:00 14.309 4.88 52.339 407.456 309.189 0
10/09/2006-16:00:00 14.162 4.88 51.866 137.251 308.116 0
10/09/2006-17:00:00 14.162 4.88 51.866 137.251 308.116 0
10/09/2006-18:00:00 14.162 4.88 51.866 137.251 308.116 0
10/09/2006-19:00:00 11.992 4.88 58.65 0 298.643 0
10/09/2006-20:00:00 11.992 4.88 58.65 0 298.643 0
10/09/2006-21:00:00 11.992 4.88 58.65 0 298.643 0
10/09/2006-22:00:00 8.983 4.88 70.323 0 286.041 0
10/09/2006-23:00:00 8.983 4.88 70.323 0 286.041 0
10/09/2006-24:00:00 8.983 4.88 70.323 0 286.041 0
10/10/2006-01:00:00 6.142 2.62 83.73 0 267.357 0
10/10/2006-02:00:00 6.142 2.62 83.73 0 267.357 0
10/10/2006-03:00:00 6.142 2.62 83.73 0 267.357 0
10/10/2006-04:00:00 4.474 2.62 92.167 0 260.708 0
10/10/2006-05:00:00 4.474 2.62 92.167 0 260.708 0
10/10/2006-06:00:00 4.474 2.62 92.167 0 260.708 0
10/10/2006-07:00:00 5.733 2.62 86.042 130.094 265.806 0
10/10/2006-08:00:00 5.733 2.62 86.042 130.094 265.806 0
10/10/2006-09:00:00 5.733 2.62 86.042 130.094 265.806 0
10/10/2006-10:00:00 10.37 2.62 65.15 437.955 284.456 0
10/10/2006-11:00:00 10.37 2.62 65.15 437.955 284.456 0
10/10/2006-12:00:00 10.37 2.62 65.15 437.955 284.456 0
10/10/2006-13:00:00 14.227 2.62 52.414 447.931 300.861 0
10/10/2006-14:00:00 14.227 2.62 52.414 447.931 300.861 0
10/10/2006-15:00:00 14.227 2.62 52.414 447.931 300.861 0
10/10/2006-16:00:00 14.447 2.62 53.509 148.985 302.719 0
10/10/2006-17:00:00 14.447 2.62 53.509 148.985 302.719 0
10/10/2006-18:00:00 14.447 2.62 53.509 148.985 302.719 0
10/10/2006-19:00:00 13.156 2.62 60.187 0 298.377 0
10/10/2006-20:00:00 13.156 2.62 60.187 0 298.377 0
10/10/2006-21:00:00 13.156 2.62 60.187 0 298.377 0
10/10/2006-22:00:00 11.368 2.62 69.95 0 292.061 0
10/10/2006-23:00:00 11.368 2.62 69.95 0 292.061 0
10/10/2006-24:00:00 11.368 2.62 69.95 0 292.061 0
10/11/2006-01:00:00 9.679 2.44 80.809 0 293.315 0
10/11/2006-02:00:00 9.679 2.44 80.809 0 293.315 0
10/11/2006-03:00:00 9.679 2.44 80.809 0 293.315 0
10/11/2006-04:00:00 8.687 2.44 89.085 0 290.084 0
10/11/2006-05:00:00 8.687 2.44 89.085 0 290.084 0
10/11/2006-06:00:00 8.687 2.44 89.085 0 290.084 0
10/11/2006-07:00:00 9.682 2.44 83.815 112.462 294.268 0
10/11/2006-08:00:00 9.682 2.44 83.815 112.462 294.268 0
10/11/2006-09:00:00 9.682 2.44 83.815 112.462 294.268 0
10/11/2006-10:00:00 13.214 2.44 65.948 383.827 308.75 0
10/11/2006-11:00:00 13.214 2.44 65.948 383.827 308.75 0
10/11/2006-12:00:00 13.214 2.44 65.948 383.827 308.75 0
10/11/2006-13:00:00 16.151 2.44 54.239 392.206 321.166 0
10/11/2006-14:00:00 16.151 2.44 54.239 392.206 321.166 0
10/11/2006-15:00:00 16.151 2.44 54.239 392.206 321.166 0
10/11/2006-16:00:00 16.099 2.44 54.099 128.112 320.777 0
10/11/2006-17:00:00 16.099 2.44 54.099 128.112 320.777 0
10/11/2006-18:00:00 16.099 2.44 54.099 128.112 320.777 0
10/11/2006-19:00:00 14.291 2.44 60.405 0 312.839 0
10/11/2006-20:00:00 14.291 2.44 60.405 0 312.839 0
10/11/2006-21:00:00 14.291 2.44 60.405 0 312.839 0
10/11/2006-22:00:00 11.784 2.44 70.738 0 302.141 0
10/11/2006-23:00:00 11.784 2.44 70.738 0 302.141 0
10/11/2006-24:00:00 11.784 2.44 70.738 0 302.141 0
10/12/2006-01:00:00 9.418 1.83 82.334 0 288.969 0
10/12/2006-02:00:00 9.418 1.83 82.334 0 288.969 0
